,X1,X2,Y1,Y2
-2,0.0,0.03125,0.0,1.0
-1,0.0,0.125,0.0,1.0
0,0.0,0.5,0.0,0.5
1,0.0,1.0,0.0,0.125
2,0.0,1.0,0.0,0.03125
