,X1,X2,Y1,Y2
-4,0.0068359375,0.0078125,0.0,1.0
-3,0.02734375,0.03125,0.0,1.0
-2,0.109375,0.125,0.0,1.0
-1,0.4375,0.5,0.0,1.0
0,0.75,1.0,0.25,0.5
1,0.0,1.0,0.8125,0.875
2,0.0,1.0,0.203125,0.21875
3,0.0,1.0,0.05078125,0.0546875
4,0.0,1.0,0.0126953125,0.013671875
