,X1,X2,Y1,Y2
-4,0.75688828125,0.7573225,0.8988800000000055,0.0
-3,0.027553124999999998,0.02929,0.9747200000000014,0.0
-2,0.11021249999999999,0.11716,0.24368000000000034,0.0
-1,0.44084999999999996,0.46864,0.060920000000000085,0.5
0,0.7634,0.87456,0.26523,0.375
1,0.05359999999999987,0.49824,0.8163075,0.84375
2,0.21439999999999948,0.9929600000000001,0.204076875,0.2109375
3,0.8575999999999979,0.9718400000000003,0.05101921875,0.052734375
4,0.4303999999999917,0.887360000000001,0.7627548046875,0.76318359375
